API;Surf_X;Surf_Y;Date_Drilling;Date_Completion;Date_Production;Lateral_Length (ft);Depth_TVD_PPLS (ft);Erosion_PPLS (ft);Pressure_PPLS (PSI);TOC_PPLS (%);Vcarb_PPLS;Vsand_PPLS;Vclay_PPLS;PR_PPLS;YM_PPLS (PSI);RHOB_PPLS (g/cc);Res_PPLS (Ohmm);GR_PPLS (API);DT_PPLS (us/ft);DTs_PPLS (us/ft);Temperature (F);Temp_Anomaly (F);S3Tect_PPLS (PSI);S3_contrast_PPLS (PSI);Heat_Flow (W/m2);Zone;Nbr_Stages;Frac_Gradient (PSI/ft);Proppant_Designed (kg);Proppant_in_Formation (kg);Avg_Breakdown_Pressure (KPa);Avg_Treating_Pressure (KPa);Max_Treating_pressure (KPa);Min_Treating_Pressure (KPa);Avg_Rate_Slurry (bpm);Max_Rate_Slurry (bpm);Min_Rate_Slurry (bpm);ShutInPressure_Fil (KPa);ShutInPressure_Initial (KPa);ISIP (KPa);Shot_Density (shots/ft);Shot_Total;Proppant_per_ft (kg/ft);Stage_Spacing (ft);GasCum360;OilCum360
173;-1,002429879;1,006312165;27/10/2014;23/09/2015;25/09/2015;0,124097821;-0,739624622;0,642626032;0,0771076;-0,836655974;-1,511933394;0,864232404;2,206725569;-0,788269704;-2,1237328;-0,369478288;-0,510345059;-0,266463963;-1,180366951;-0,706019677;1,577751537;0,567554336;-1,242669057;1,664731375;0,478223711;-0,45747705;;;;;;;;;;;;;;;;;;;-0,23486223;1,856239383
698;0,399069194;0,379299349;06/09/2012;09/12/2012;13/06/2013;-0,51871968;-1,105025577;-1,931456998;1,397495172;1,109695152;-0,024553785;0,336644801;-0,847259381;0,310320587;-0,269123341;-0,785469224;-0,098871704;0,220344297;0,960717594;-0,155537302;0,731624911;0,377934443;0,388720036;-0,25793094;-0,631252276;1,106226833;-1,086409818;-0,231672394;-0,033855001;-0,083059573;0,627170151;0,600800703;0,128357877;0,657610302;0,574746988;0,643190052;0,328788837;-0,53726027;-0,74055321;-0,468241339;0,667339212;-0,560749524;0,423196372;2,032007163;0,517322331;-0,638283409
605;0,360876598;0,093195811;16/06/2013;31/03/2014;09/05/2014;-0,439689842;-0,623652912;-1,424112667;0,667345342;0,933450759;0,245878872;-0,190942802;-0,569624385;0,310320587;0,071348794;-0,508141933;0,123155468;-0,075841695;0,637535021;-0,635174989;0,482275218;0,227171085;0,362851496;-0,21898771;-0,689268773;1,106226833;-0,35632139;0,013607116;0,272833685;0,322554827;0,716110486;0,243751895;0,089314503;0,168398129;0,419018521;0,061718132;0,556463043;0,299387588;0,308099237;0,369652119;-1,253690467;0,181738053;1,053846615;-0,178792975;0,743207299;-0,543497584
753;0,267113203;-0,444271658;31/08/2014;19/03/2015;05/07/2015;0,788695198;0,355025327;-0,595267325;0,882497294;0,680578368;-0,835851753;0,688369869;0,263280601;-0,788269704;-0,105307742;1,017158165;0,170607249;0,268189727;-0,174910058;-1,170818273;-0,249150549;-0,299723538;0,657883898;0,610998514;-0,140141429;-0,45747705;1,833943895;0,254400401;0,288390357;0,32023397;0,645923462;-0,068324567;0,965371186;-0,03598628;-0,817345052;-0,766834067;-0,835909614;0,273730574;0,472713508;1,116315658;0,667339212;-0,560749524;-0,179710801;-1,233999834;0,134987421;-0,037341278
66;1,648254656;-1,275365021;26/04/2013;12/09/2013;16/02/2014;-0,58717072;0,791208158;-0,31925744;-1,05677419;0,397054779;0,786744184;-0,542667871;-0,847259381;0,310320587;1,391840824;-1,270791982;-0,006278168;0,019089713;1,37816175;1,808488074;0,728300249;1,630669149;1,906969187;-1,625216358;1,148636573;0,584992205;-0,429330233;-0,44101248;-0,654217001;-0,655128829;1,267154877;0,022841416;0,375603169;-0,120112205;0,729615076;0,668931553;0,466308415;-1,178376729;-0,994946171;-1,710758371;-0,773433047;0,924225629;-0,559722588;-0,16295145;-0,266917551;-0,750130683
228;0,277349109;-0,439347934;11/09/2014;17/03/2015;29/06/2015;0,758825653;0,335986586;-0,64106156;0,839440703;0,680578368;-0,835851753;0,688369869;0,263280601;-0,788269704;-0,097641145;1,017158165;0,173013526;0,245406189;-0,152466824;-1,169860913;-0,17268331;-0,262421263;0,66489832;0,55597135;-0,114117568;-0,45747705;1,760935052;0,224812011;1,857137908;1,912769611;0,625433436;0,152594709;0,870079345;0,354121437;-0,534965392;-0,64293164;-0,714305398;0,80588576;0,687046115;1,024216504;0,667339212;-0,560749524;1,941844476;-1,216550242;0,293206408;0,127586058
70;0,351014416;0,033016961;15/03/2013;05/09/2013;29/11/2013;-1,124822531;-0,516439645;-1,312942806;0,510075248;0,971764757;0,245878872;-0,190942802;-0,569624385;0,310320587;0,172850984;-0,438810111;0,165866884;-0,085714562;0,547762084;-0,727081611;0,500560862;0,306438417;0,373619473;-0,199904491;-0,596633378;1,106226833;-0,648356761;0,043840376;-0,891440382;-0,885510276;0,182369985;0,732718383;0,5602303;0,862060451;-0,507178686;-0,479902129;0,214123827;0,129476245;-0,191943676;0,561873376;-1,253690467;0,181738053;-0,476101484;-0,184966016;-0,120108907;-0,825959343
106;0,425759372;0,081628967;26/07/2012;30/11/2012;22/06/2013;-1,269191999;-0,661109228;-1,503480633;0,470271919;0,726555167;0,245878872;-0,015080268;-0,569624385;0,310320587;-0,042284657;-0,508141933;0,081310313;-0,122168223;0,664466902;-0,678256218;0,490586874;0,130806877;0,453785027;-0,310291114;-0,832041883;1,106226833;-1,232427504;0,060907539;-1,159650115;-1,15912091;2,044404341;0,739453459;-0,329024481;0,729485595;0,041312461;0,289959446;0,377635303;-0,316220058;-1,077861693;0,547223541;0,667339212;-0,560749524;-0,947955652;1,88087409;-0,52937753;-0,840493169
450;2,869421141;-1,004911891;13/12/2013;23/07/2014;01/07/2014;0,554717095;0,016117106;0,454264188;-3,253817538;-1,127842362;0,516311528;0,512507335;-1,957799362;0,859615732;-1,780219423;1,571812746;-0,026611208;4,265941179;2,370152703;2,380989743;-0,709616316;0,859755484;0,603688468;-2,719329516;0,465808658;1,627461461;;;;;;;;;;;;;;;;;;;-0,112347221;-0,846812224
361;0,99265834;-1,282477067;10/05/2014;03/11/2014;20/01/2015;0,12658695;1,033214468;0,508173389;0,281560906;0,580961972;0,3810952;-0,366805336;-0,29198939;0,310320587;0,185960666;0,185176293;0,25732947;0,237052225;0,655489608;-0,862548143;-2,091013616;-2,416627595;0,283549412;-1,297055774;-2,699074854;-0,978711678;1,322881995;0,228857492;1,379198832;1,436918822;-1,374710048;-1,085010646;0,475197183;-0,35101349;-0,735028861;-0,768468575;-0,843141278;0,946054983;0,368202048;0,556565724;1,605516496;0,1644709;2,095524102;-1,238962029;-0,58808772;-0,343815446
250;1,355337478;-1,74726099;12/07/2013;19/12/2013;22/01/2014;-1,404849516;1,404330151;-0,215586468;0,786602493;0,918125159;1,05717684;-1,246118008;-0,569624385;0,859615732;1,004751882;0,254508116;0,620027592;-6,140819487;1,786628613;0,516051194;-3,892980732;-3,72220719;1,0034496;-2,114078183;-3,2837761;-0,978711678;-0,721365604;-0,226145884;-0,962810586;-0,968222949;1,312821663;-3,648702725;-1,353214443;-2,190302114;-2,204848408;-3,174115738;0,118169498;;-1,678895796;-1,12301186;-1,136871094;0,362343139;-0,324857398;-0,286218079;-1,075481805;-0,444920326
391;0,16469185;0,627458951;28/01/2013;09/04/2013;30/07/2013;-0,461469718;-1,258018786;-1,370839257;1,258390942;0,588624772;-0,024553785;0,512507335;-1,124894376;0,859615732;-0,360098984;-1,062796514;0,022885909;0,136804658;0,902365185;1,417406248;0,902845034;0,667027067;-0,245036339;-0,613943874;0,225147631;1,106226833;-0,721365604;-0,288562936;-0,59802249;-0,58289513;0,959555514;1,010173564;-0,091370891;1,333924674;0,149146537;0,433063128;0,329892712;-0,654645305;-0,249764535;-0,537018459;-1,253690467;0,181738053;-0,542427049;0,574318029;1,080719023;-0,77856643
704;-1,011015168;0,63494223;25/03/2014;19/08/2014;19/08/2014;-0,409198014;-0,124173256;0,231936788;-0,223568017;0,021577594;-1,647149722;1,215957472;1,651455578;-0,788269704;-0,857633229;-0,092150998;-0,312717535;-0,379622201;-1,171389658;-1,011417725;0,982636936;0,177434719;-0,910588721;1,312511781;0,223715124;-0,45747705;;;;;;;;;;;;;;;;;;;-1,074090672;0,184021538
319;0,001073065;0,298800368;21/08/2012;21/12/2012;19/06/2013;-0,553567482;-0,59731547;0,510351837;-0,423545359;0,427705978;0,921960512;-0,542667871;-0,569624385;0,859615732;-0,201223798;-1,062796514;-0,056713732;0,154272037;0,597137199;1,352305723;0,286120126;0,051539544;-0,37557266;-0,531521805;0,181217443;-0,45747705;-1,086409818;-0,012237444;-0,640991925;-0,635680421;-1,320258746;0,328883251;0,339623256;0,404293719;0,838022738;1,338782629;0,412241782;-0,27202599;-0,460654824;0,352766257;0,667339212;-0,560749524;-0,554713461;1,984325742;0,273260422;0,092831255
790;0,080167762;-0,360490194;12/02/2013;04/04/2013;25/06/2013;-0,972985677;0,40589883;0,310543283;0,669397736;0,626938771;-0,159770113;-0,015080268;0,263280601;-0,238974559;-0,344109213;0,601167229;0,028011279;0,148196427;-0,251217055;-0,958284209;-1,228263678;-0,980490041;0,27659594;1,228829581;-0,795990479;-0,45747705;-0,721365604;-0,099794698;-0,829467679;-0,823708555;0,485075737;-0,704427013;0,532045615;-0,566095787;1,179306118;0,650435808;0,757313089;-1,355508491;-1,191522087;-0,22140447;-0,773433047;0,924225629;-0,509809441;0,107721274;-1,017545573;-0,202900519
232;0,297146141;-0,018467218;29/08/2013;02/02/2014;28/03/2014;-1,295327851;-0,385684182;-1,035087154;0,508066523;1,063718354;0,245878872;-0,190942802;-0,569624385;0,310320587;0,213253862;-0,438810111;0,189135582;-0,085714562;0,471455087;-0,765854718;0,337652396;0,130806877;0,336475033;-0,07472859;-0,570848268;1,106226833;-0,721365604;0,124624946;-0,989479167;-1,07946269;0,080329911;-0,389524812;;;-0,666492062;;;;1,126917995;0,645248928;-1,253690467;0,181738053;-0,730742905;-0,186314151;-0,308976603;-0,413956956
616;0,23521164;-0,05039327;28/10/2014;06/04/2015;25/06/2015;-0,161529703;-0,274371218;-0,659906123;0,506188801;1,086706753;0,516311528;-0,542667871;-0,569624385;0,310320587;0,064812844;-0,508141933;0,148469502;-0,082676757;0,417591325;-0,736176537;-0,13444969;-0,436498543;0,280892972;0,103713744;-0,763997842;1,106226833;1,249873152;0,183667267;1,294875317;1,328032473;-0,029298913;-0,201746628;0,597699622;-0,698681077;-0,342580129;-0,576080914;-1,033313992;0,23314889;0,194650552;1,068669548;0,667339212;-0,560749524;2,361175731;-1,302854076;0,657320151;-0,098636112
780;0,300945676;0,306654881;20/12/2012;25/09/2013;09/12/2013;-1,109887759;-0,908954499;-1,59045099;1,452778787;1,186323149;0,110662543;0,160782267;-0,847259381;0,310320587;-0,286494183;-0,854801047;0,042785819;0,05934063;0,875433303;-0,104797188;0,555417795;0,202302902;0,197898285;-0,124516716;-0,555329452;1,106226833;-0,575347918;0,064254041;-0,806735888;-0,805390622;0,723856771;0,470156083;0,093640131;0,747982913;0,061556655;-0,623751697;0,454825382;0,640913921;1,037977258;0,65956918;-1,253690467;0,181738053;-0,314898817;-0,308990298;0,323722439;-0,835437925
694;1,06034405;-1,091350603;12/07/2014;20/12/2014;10/04/2015;1,379863277;0,697443136;1,087194582;-0,653391573;0,021577594;-0,294986441;0,688369869;-0,29198939;0,310320587;0,749810806;0,601167229;-0,023651487;0,65475042;0,318841095;-0,762982636;-1,577353248;-1,561783813;0,948700534;-0,937366019;-1,766990874;0,584992205;2,271996952;0,302285983;2,475404519;2,557352215;-1,277596652;-0,507818397;-0,158359422;-0,078915803;-0,465696162;-0,88100648;-0,443174564;1,82982492;1,408770091;1,022764896;0,684491262;-0,547490817;2,032918121;-1,224956177;-0,093904924;-0,573829048
362;-1,739415147;2,327785001;;25/10/2014;25/10/2014;0,853412546;-1,883812567;1,375304219;1,232190176;-1,166156361;0,110662543;0,512507335;-0,569624385;0,310320587;-0,494861159;-1,686782918;-0,400185701;0,312997352;-1,835709391;-0,172291114;1,039156199;0,940577078;-1,565992793;1,393380264;0,664210755;1,106226833;;;;;;;;;;;;;;;;;;;2,654307568;-0,840038197
748;0,636986542;-0,410137745;13/02/2014;29/08/2014;03/12/2014;-0,489472417;-0,016866814;-1,023655229;0,493197588;-0,070376003;0,516311528;-0,718530405;0,263280601;0,310320587;-0,688912712;-0,438810111;0,01246673;-0,439618851;0,920319772;-0,72516689;-0,254137543;-0,144297395;0,766802997;-0,519248473;0,14062977;1,106226833;0,15474051;0,053261931;0,030022601;0,050785541;1,728000588;-0,456629447;0,437227257;0,270972191;-0,133949779;-0,5946266;-0,912211903;0,244043754;0,723694216;0,440505347;0,667339212;-0,560749524;0,630610138;-0,805226555;0,668022875;-0,782989769
715;0,267777602;0,314020928;12/10/2012;20/03/2013;14/06/2013;-0,781322763;-0,888331785;-1,430386795;1,435049602;1,178660349;0,110662543;0,160782267;-0,847259381;0,310320587;-0,331548661;-0,854801047;0,050750596;0,050227214;0,861967363;0,007692689;0,503885525;0,149458014;0,128795302;-0,087398949;-0,499939215;1,106226833;-0,794374447;-0,039173375;-0,735492678;-0,727429664;0,7672853;0,499813055;0,618572942;0,615067391;0,299425941;0,331363767;0,406375476;-0,520570833;-0,286850519;0,323510647;1,639288751;0,181738053;-0,511313357;0,481144641;-0,217494849;-0,82216791
50;1,086899272;-1,622292183;22/05/2014;24/10/2014;14/01/2015;0,043201137;1,401069029;0,369351528;0,713677029;0,772531965;1,192393168;-1,246118008;-0,569624385;0,859615732;0,440245879;0,462503584;0,188846829;0,076048557;1,441002806;-0,175163196;-2,292155702;-3,249711718;-0,189931727;-2,125022336;-3,343225104;-0,978711678;1,176864309;0,317846637;1,210551803;1,26428147;-0,840529144;-0,05960029;0,703977456;0,216315882;-1,280732197;-0,778126843;-1,088667359;0,937169384;0,49234713;0,842683821;0,667339212;0,1636286;1,947916214;-1,205386829;-0,659689828;-0,126439954
292;0,330781371;-0,484736073;08/11/2013;08/06/2014;16/07/2014;-0,83732816;0,361640746;-0,842683845;0,752432328;0,473682776;-0,971068082;0,864232404;0,540915596;-0,788269704;-0,22867547;1,086489987;0,114540997;0,2218632;-0,125534943;-1,147362937;-0,09621607;-0,119429213;0,746140672;0,420990593;0,166176129;-0,45747705;-0,502339076;0,028218052;-0,728889029;-0,725627824;0,10707658;0,750030022;-0,061615954;-0,234329951;0,541287833;1,105106997;-1,161994271;0,062816373;0,368988734;0,21164808;-1,253690467;0,181738053;-0,450375959;-0,2233997;-0,59666759;-0,194685748
458;-0,431492607;0,162772721;18/12/2014;04/05/2015;26/09/2015;0,852167982;0,075096827;-0,072986823;-1,109896242;0,856822762;0,3810952;-0,190942802;-0,847259381;0,310320587;1,196338175;-0,230814643;-0,045356105;0,054783922;-0,282637582;0,184804409;-0,345565764;-0,200250806;0,469977626;-0,210809804;0,278150357;-0,45747705;0,957837781;;0,94310403;0,969184061;1,063997466;0,749284306;0,983630929;0,06361267;-0,656499599;-0,27110995;-1,135733667;0,429084812;0,682287323;0,63252535;0,667339212;-0,611551305;0,612758419;-0,812073041;-0,667738984;0,50925698
477;0,419104995;0,46796546;15/09/2014;04/04/2015;30/10/2015;0,91999674;-1,256403754;-2,029043593;1,473280886;1,201648749;-0,024553785;0,336644801;-0,847259381;-0,238974559;-0,297210485;-0,785469224;-0,186989565;0,414763821;1,019070003;-0,025336254;0,814741475;0,508492402;0,415792355;-0,271744912;-0,532648105;1,106226833;0,227749353;-0,088401109;0,114346115;0,096078916;-0,673474952;0,466330108;0,237549297;0,105507247;-0,782192454;-0,583412929;-0,598702658;0,923634414;1,359098898;0,143802332;0,667339212;-0,030401255;-0,558979545;-0,176907613;0,98123234;-0,846812224
325;0,195918632;-8,14067E-05;07/10/2014;05/04/2015;10/07/2015;1,371773609;-0,316486279;-0,463007916;0,511712796;1,040729955;0,651527856;-0,718530405;-0,569624385;0,859615732;-0,16651093;-0,646805579;0,075005867;-0,091030721;0,471455087;-0,56289426;-0,448630303;-0,766001964;0,186165253;0,162374574;-0,893639646;1,106226833;1,249873152;0,244427915;1,294875317;1,300475785;0,26027427;0,555404155;0,744155051;0,329830581;-0,852251828;-0,734797475;-0,943742426;1,58949836;1,169664907;1,253316216;0,667339212;-0,560749524;0,579947356;-0,803334435;0,989922775;0,104837459
637;1,106436774;-0,661579829;28/04/2014;04/11/2014;23/02/2015;1,450181165;-0,064541311;1,971666747;-1,712404676;-1,72554074;0,245878872;0,160782267;-0,569624385;0,310320587;1,709164263;0,670499051;-0,321500445;0,397296442;0,291909214;0,225013556;0,359262703;1,060255207;1,570459758;-0,647039578;0,415670944;0,584992205;0,446775881;0,162156974;0,37519024;0,396433628;0,80212141;1,073687017;-0,012825686;-0,561661309;-0,086356573;0,767653441;-1,290702528;0,931756637;1,210061933;0,688772286;1,596869701;-0,081725281;-0,517461845;-0,167490611;0,616543657;-0,840493169
684;0,279757558;-0,003324812;13/11/2012;07/03/2013;18/06/2013;-0,780700481;-0,395001673;-0,967165897;0,560926567;1,079043953;0,3810952;-0,366805336;-0,569624385;0,310320587;0,159290872;-0,508141933;0,171521635;-0,084955111;0,493898322;-0,718944046;0,206328224;-0,023065004;0,304430144;-0,042034229;-0,636266047;1,106226833;-0,648356761;0,093010059;-0,734984705;-0,731969124;-0,238200589;0,336920441;-0,190396547;0,7259247;0,743596223;0,66470089;0,567639777;0,189915563;-0,204628987;0,666446211;2,468304535;0,924225629;-0,520944751;0,10931775;0,494435307;-0,586467158
20;-0,550959962;0,128697424;19/11/2012;19/01/2013;25/02/2013;-0,562279433;0,263744969;-0,605464631;-0,975901161;1,43153274;-0,024553785;0,160782267;-0,847259381;-0,238974559;1,539020396;-0,022819175;-0,044634222;0,053265019;-0,507069925;-0,639483112;-0,506811898;-0,369665302;0,531995076;0,314617401;0,185037459;-0,45747705;-0,794374447;-0,158295205;-0,644264795;-0,634244216;0,573251569;-0,314040651;-0,290614149;0,062698247;1,070079049;0,486629967;0,74581702;-0,841682786;-0,403244727;-0,504039808;-1,116474061;0,181738053;-0,544008006;0,695224488;-0,934422558;0,507993169
108;-0,330130142;0,930795524;20/01/2014;03/08/2014;10/10/2014;-0,53863271;-1,152389492;-0,669287743;-0,474331176;-2,169983123;0,786744184;-1,246118008;-0,014354394;0,310320587;-0,266087597;-0,092150998;-0,419604356;0,092756485;0,031567697;1,566754509;0,650170678;0,688786727;-1,900287675;-0,686686237;0,721511;1,106226833;-0,35632139;0,031649545;-0,560242;-0,555410484;-0,55397325;-1,418285159;-0,181833353;-1,683924602;0,194459793;-0,256189413;0,267689359;0,937319353;1,0320077;0,590324897;1,627854051;0,181738053;-0,420862651;-0,246483563;1,322857095;-0,492313238
765;-0,013886308;0,291434321;19/09/2012;18/12/2012;25/06/2013;-0,505651754;-0,565511766;0,579818215;-0,536077646;0,38939198;0,921960512;-0,542667871;-0,569624385;0,859615732;-0,155594087;-1,062796514;-0,061117219;0,169461063;0,579182612;1,408311322;0,302743439;0,063973635;-0,387249819;-0,575704073;0,220133859;-0,45747705;-0,648356761;0,074317452;-0,59389013;-0,595019464;-0,696445226;0,345227034;-0,047277427;0,631150114;0,753275479;1,143600076;0,368942288;0,228607207;-0,255007797;0,664422221;2,468304535;-0,560749524;-0,524216872;0,344531899;0,389906845;-0,142237591
461;-2,285831921;1,934414616;25/10/2013;14/03/2014;12/03/2014;-0,692958692;-0,328039968;0,974578172;0,46939856;-2,062703927;0,110662543;-0,015080268;-0,014354394;0,310320587;1,793861773;0,046512648;-0,504473743;-0,141154504;-1,880595859;-0,429342449;-0,583279138;0,367054613;-1,450760205;0,968966377;0,200556276;-0,45747705;;;;;;;;;;;;;;;;;;;-0,601819934;0,13011368
