"API","Surf_X","Surf_Y","Date_Drilling","Date_Completion","Date_Production","Lateral_Length (ft)","Depth_TVD_PPLS (ft)","Erosion_PPLS (ft)","Pressure_PPLS (PSI)","TOC_PPLS (%)","Vcarb_PPLS","Vsand_PPLS","Vclay_PPLS","PR_PPLS","YM_PPLS (PSI)","RHOB_PPLS (g/cc)","Res_PPLS (Ohmm)","GR_PPLS (API)","DT_PPLS (us/ft)","DTs_PPLS (us/ft)","Temperature (F)","Temp_Anomaly (F)","S3Tect_PPLS (PSI)","S3_contrast_PPLS (PSI)","Heat_Flow (W/m2)","Zone","GasCum360","OilCum360"
649,-2.124974547,2.31797663,"10/10/2014","14/01/2015","29/04/2015",2.130957879,-1.264634205,1.168733604,1.028108048,-2.062703927,0.3810952,0.160782267,-0.569624385,0.310320587,1.021682543,-0.854801047,-0.49123922,-0.053058158,-1.903039093,-0.302492162,-0.144423678,0.710546387,-1.543415597,1.247261156,0.477268707,1.106226833,3.221949306,-0.482834656
442,-1.211964906,1.142066272,"02/09/2014",NA,"01/12/2015",1.004627118,-0.748631531,1.087906767,0.289683143,-0.438190389,-2.188015035,1.567682541,2.484360564,-0.788269704,-2.544159073,-1.548119273,-0.350351706,-0.42746763,-1.404799294,-0.649535399,2.26595669,1.430169426,-1.710684939,1.19455574,1.279233381,-0.45747705,-0.842176798,-0.06233946
479,-1.328483988,1.446555621,"20/08/2012","24/04/2013","01/04/2013",-1.240567018,-1.045828448,1.280677258,0.534245454,-0.599109183,-1.647149722,1.040094938,2.206725569,-0.238974559,-2.393747003,-1.47878745,-0.315532879,-0.214061825,-1.539458699,-0.473381039,2.390631537,1.624452104,-1.859486186,1.201149851,1.454954131,-0.45747705,-0.670370438,-0.542233773
97,0.19248244,-1.734502292,"07/05/2012","14/08/2012","14/08/2012",-0.475782209,2.314618004,-0.736008882,-1.493868459,0.044565993,-1.647149722,1.91940761,0.818550592,-2.43615514,0.0159406,0.947826342,-0.074808935,-0.090271269,-0.507069925,1.136899577,-0.413721346,-0.34635138,0.324518515,0.399374166,0.058260668,-2.542415562,-1.096221429,-0.018409389
571,-0.367149657,1.236808883,"22/12/2013","04/09/2014","28/08/2014",-0.156551446,-1.492726395,-0.307199581,0.050753997,-1.817494336,0.3810952,-0.190942802,-0.29198939,0.310320587,-1.051773554,0.601167229,-0.441934606,0.34793211,-0.121046296,1.313532617,1.044143193,0.754065707,-2.532306952,-0.172431907,0.620280567,1.106226833,1.383225765,-0.845548413
4,-1.296250226,1.119186586,"12/05/2013",NA,"01/09/2013",-0.076899326,-0.632566646,1.117268996,0.278460482,-0.315585594,-2.323231363,1.743545075,2.484360564,-0.788269704,-2.235526787,-1.548119273,-0.278019021,-0.501134403,-1.476617643,-0.662938448,2.362371905,1.782986769,-1.788656264,1.030389138,1.657892497,-0.45747705,-0.349767027,0.336361316
53,0.481610464,-1.171536967,"17/11/2013","20/08/2014","20/08/2014",-0.78318961,1.352773365,-1.143701527,-1.293825615,0.090542791,-1.511933394,1.040094938,1.651455578,-2.43615514,-1.193637021,0.462503584,-0.294814834,-0.230769753,-0.05820524,-0.159366745,-0.272423187,0.248930745,0.813836706,0.521969387,1.701345183,-0.978711678,-0.763632515,-0.13402282
129,-2.30125845,1.952937197,"07/11/2013","14/03/2014","12/03/2014",0.409103063,-0.32654917,0.965696806,0.479333017,-2.039715528,0.110662543,0.160782267,-0.014354394,0.310320587,1.804031232,-0.022819175,-0.507625966,-0.131281638,-1.885084506,-0.432214531,-0.623175089,0.367054613,-1.457408923,0.959459292,0.199840022,-0.45747705,-0.235052623,1.446372837
491,2.832702681,-1.063547193,NA,"28/05/2015","12/04/2015",0.492488877,0.081401663,0.539243384,-3.123381395,-1.150830762,0.3810952,0.512507335,-1.957799362,0.859615732,-1.652327325,1.571812746,-0.102096115,4.049497569,2.365664056,2.383383145,-0.776109567,0.810019118,0.758122586,-2.633938371,0.419252209,1.627461461,0.592595207,-0.846812224
711,-2.318823514,1.773416654,NA,"21/03/2015","21/03/2015",0.444573148,-0.008481071,0.895239777,0.232936652,-1.871133934,-0.159770113,0.160782267,0.263280601,0.310320587,1.904101572,0.254508116,-0.503799986,-0.09634688,-1.862641272,-0.473381039,-0.633149076,0.250485006,-1.384024146,0.848334716,0.106488374,-0.45747705,-0.370044045,0.42881541
36,-1.51819084,0.725581738,"07/02/2014","19/06/2014","19/06/2014",0.280912933,0.346453235,1.02418962,-0.035839533,0.075217192,-2.593664019,2.095270144,2.484360564,-0.238974559,-0.364315366,0.11584447,-0.236919811,-0.42139202,-1.633720283,-0.794096857,1.98169804,2.126478543,-1.357281978,1.588691956,2.104595654,-0.45747705,-0.885530569,0.237537615
639,-1.770309729,2.250490348,"27/11/2013","17/06/2014","21/06/2014",0.799896278,-1.723675948,1.363682543,1.148544233,-1.396040352,0.245878872,0.336644801,-0.569624385,0.310320587,-0.363109089,-1.340123805,-0.401509153,0.205155272,-1.835709391,-0.200533253,0.961026629,0.887732189,-1.582159996,1.381430596,0.621713074,1.106226833,1.752823548,-0.815216949
564,-2.097495394,3.136584836,"23/09/2014","19/04/2015","17/04/2015",1.089879778,-2.911221287,1.185971438,NA,-1.089528364,0.110662543,0.864232404,-1.124894376,0.859615732,0.251478221,-3.350746661,-0.502356219,0.461849799,-1.943436915,-0.256060171,0.379210678,1.308937035,-1.541028357,1.506446823,0.961694525,1.106226833,5.366268563,-0.846812224
514,-2.307559865,1.776992215,"06/07/2014","25/03/2015","25/03/2015",0.446439995,-0.036433546,0.907312422,0.247914756,-1.901785133,-0.024553785,0.160782267,0.263280601,0.310320587,1.891265455,0.254508116,-0.502572784,-0.105460295,-1.862641272,-0.468594235,-0.606551776,0.261364836,-1.385720611,0.864479067,0.11484466,-0.45747705,0.016200012,1.093636868
270,2.845274368,-1.048404787,"25/01/2015","25/05/2015","12/04/2015",0.502445392,0.065437694,0.507219702,-3.173381188,-1.150830762,0.3810952,0.512507335,-1.957799362,0.859615732,-1.69513908,1.571812746,-0.079477112,4.131518305,2.365664056,2.380511063,-0.764473248,0.820898948,0.711576483,-2.664039106,0.429518503,1.627461461,0.329449723,-0.846812224
551,0.488773523,-1.166964937,"05/03/2014","20/08/2014","20/08/2014",-0.787545585,1.340940151,-1.164544644,-1.266554985,0.12885679,-1.511933394,1.040094938,1.651455578,-2.43615514,-1.223942358,0.393171761,-0.288534452,-0.231529204,-0.031273359,-0.172769794,-0.245825886,0.252039267,0.820414315,0.471784234,1.715431493,-0.978711678,-0.722379043,0.174347065
660,-0.98574722,0.647642312,"03/01/2015","27/07/2015","29/09/2015",0.124097821,-0.169828964,0.15043473,-0.240969692,-0.062713203,-1.647149722,1.215957472,1.651455578,-0.788269704,-0.816034429,0.046512648,-0.344143511,-0.352281955,-1.144457777,-1.010939044,0.914481353,0.107492955,-0.85679963,1.309003265,0.177874929,-0.45747705,-0.58300857,1.529436815
517,-1.511328837,0.852992868,"20/09/2012",NA,"01/05/2013",0.303937374,0.09683764,1.069461422,0.044924327,-0.047387604,-2.593664019,2.095270144,2.484360564,-0.238974559,-0.699760566,-0.092150998,-0.179891048,-0.483667024,-1.624742989,-0.748622226,2.114684543,2.53835782,-1.568258131,1.652112802,2.515963661,-0.45747705,-1.08972262,-0.846180319
365,-1.751498915,2.74032274,NA,"23/09/2014","23/09/2014",1.013339068,-2.673811606,1.35956222,NA,-0.530143985,-0.024553785,1.040094938,-0.847259381,0.310320587,-0.38189739,-3.212083016,-0.408439231,0.641080297,-1.867129919,-0.100010385,1.087363807,1.228115441,-1.429620432,1.419044647,0.896515497,1.106226833,4.647158516,-0.846812224
359,-1.835919191,1.036909593,"12/08/2014","04/12/2014","20/12/2014",0.20623907,0.304866165,1.01993376,-0.150751723,-0.813667574,-0.971068082,0.160782267,1.651455578,-0.238974559,0.181503999,0.809162697,-0.259057559,-0.133559991,-1.741447807,-0.619378538,1.378271782,1.42395238,-1.224170486,1.397195181,1.363989992,-0.45747705,-0.403660991,3.462075555
507,-1.505401147,0.84992531,"20/06/2013","16/09/2013","01/08/2013",0.173258114,0.093980276,1.066797505,0.046561874,-0.039724804,-2.593664019,2.095270144,2.484360564,-0.238974559,-0.71956778,-0.16148282,-0.183091396,-0.492020988,-1.624742989,-0.751015628,2.119671537,2.511935376,-1.574210994,1.624942303,2.48779104,-0.45747705,-1.004012376,-0.846812224
699,-1.022164624,0.629979429,"10/03/2014","23/08/2014","23/08/2014",-0.39364096,-0.105289807,0.267001426,-0.215620451,0.052228792,-1.78236605,1.391820007,1.651455578,-0.788269704,-0.875422506,-0.16148282,-0.299795828,-0.39101397,-1.184855598,-1.009981684,1.01422123,0.210074209,-0.934390013,1.313461195,0.245918969,-0.45747705,-0.929137535,0.862852341
279,-1.044972217,0.984741564,"07/09/2014","02/06/2015","22/09/2015",-0.707271183,-0.674557474,0.727023651,0.086670879,-0.66807438,-1.78236605,1.040094938,2.206725569,-0.788269704,-2.180329882,-0.577473756,-0.474395282,-0.334814576,-1.22525342,-0.738091259,1.687465402,0.695003773,-1.315302107,1.61323862,0.592585449,-0.45747705,-0.546667073,1.316269813
396,0.594039336,-1.402287686,NA,"03/09/2014","03/09/2014",0.335673765,1.584872076,-0.731191159,-1.02026779,0.90279956,0.110662543,-0.718530405,0.818550592,-0.788269704,-1.051228781,-0.022819175,0.03818983,-0.276336829,0.130317927,0.261871942,0.076666384,0.280015973,0.401748272,-0.855901995,1.508434359,-0.978711678,0.211436934,3.095646193
126,2.805856785,-1.011027469,"17/03/2015","31/05/2015","12/04/2015",0.538537759,0.026055764,0.753517426,-3.036744197,-0.982249168,0.516311528,0.512507335,-1.957799362,0.859615732,-1.585630239,1.502480923,-0.008516005,4.202147273,2.392595937,2.424549653,-0.732888954,0.946794123,0.738308493,-2.568825842,0.520960143,1.627461461,0.242434808,-0.846812224
300,0.495697812,-1.164874308,"02/11/2013","20/08/2014","20/08/2014",-0.883377042,1.33472849,-1.180382751,-1.245397867,0.159507988,-1.376717066,0.864232404,1.651455578,-1.886859995,-1.25036876,0.323839938,-0.28078624,-0.236085912,-0.004341478,-0.18090736,-0.215903923,0.256702052,0.824056126,0.4222162,1.725936538,-0.978711678,-0.80416488,-0.104323261
421,-0.996377614,0.642288739,"20/01/2015","18/06/2015","25/09/2015",0.124097821,-0.150914457,0.185329331,-0.233633477,-0.032062004,-1.647149722,1.215957472,1.651455578,-0.788269704,-0.834650043,-0.022819175,-0.3308368,-0.363673724,-1.157923717,-1.011417725,0.942740985,0.135469661,-0.879595234,1.31096251,0.196497508,-0.45747705,-0.691416991,1.352724442
168,-1.324352253,1.112719313,"14/07/2012","30/12/2012","01/04/2013",0.652415399,-0.594830806,1.125452963,0.273067491,-0.292597194,-2.458447691,1.91940761,2.484360564,-0.788269704,-2.091874597,-1.47878745,-0.262041343,-0.514804526,-1.499060877,-0.664374489,2.380657549,1.908881944,-1.802664792,1.031791681,1.791831819,-0.45747705,-0.750198606,-0.704001581
424,-1.665791366,-1.109404258,NA,NA,NA,-0.71784998,3.497318246,-0.183161104,NA,0.37406638,-0.565419097,0.512507335,0.540915596,0.859615732,0.010575468,2.126467327,13.15884792,-2.472669883,-2.087073614,-0.786916652,-1.214965027,-1.120373569,-0.76088337,-0.484439508,-0.53145435,-2.021180934,-1.241843707,-0.694680975
121,-2.137089458,2.317996168,"24/09/2014","06/04/2015","05/05/2015",1.801770601,-1.241744234,1.160436279,1.019963977,-2.070366727,0.3810952,0.160782267,-0.569624385,0.310320587,1.057662678,-0.854801047,-0.494030501,-0.056855414,-1.90752774,-0.307278966,-0.179332635,0.701220819,-1.544858099,1.239566588,0.470344927,1.106226833,1.691393451,-0.623749583
219,2.244740169,-1.130115161,NA,"31/07/2013","01/07/2013",0.605121953,0.144822721,1.18927854,-1.122996625,0.167170788,-0.024553785,0.864232404,-1.124894376,0.310320587,0.385921195,-0.577473756,0.022139963,0.682090666,1.517309802,3.02290006,0.289444788,0.524035016,2.039618469,-0.831536583,0.643200665,0.584992205,-0.496091838,-0.846812224
229,-0.355138558,1.242768152,"11/12/2013","05/09/2014","01/09/2014",-0.424755069,-1.509901637,-0.314033107,0.068526849,-1.756191939,0.245878872,-0.015080268,-0.29198939,0.310320587,-1.046194526,0.531835406,-0.430986046,0.349451012,-0.094114415,1.364751412,1.062428837,0.77893389,-2.556727911,-0.248406593,0.634366878,1.106226833,2.214124215,-0.845548413
167,-1.923713371,1.91139816,"30/12/2013","12/10/2014","11/10/2014",-0.365015979,-1.009862931,1.245437654,0.729550326,-2.146994724,0.3810952,-0.366805336,-0.014354394,0.310320587,0.505744937,-0.022819175,-0.404228246,-0.170773103,-1.82224345,-0.325947498,0.58866442,0.72453474,-1.571955814,1.271958863,0.514036364,-0.45747705,-0.374939878,-0.379202154
61,-1.244510106,1.130362658,"01/07/2014",NA,"01/12/2015",0.555339378,-0.700118459,1.09952105,0.28433382,-0.376887991,-2.323231363,1.567682541,2.484360564,-0.788269704,-2.444793338,-1.617451096,-0.319238545,-0.46316184,-1.431731175,-0.657672964,2.309177303,1.563835908,-1.745726576,1.108944504,1.421767739,-0.45747705,-0.71417222,-0.066724884
432,-1.486496902,0.885075229,"07/05/2013","30/10/2013","01/08/2013",-0.663089147,0.000277371,1.075496512,0.079203661,-0.055050403,-2.728880347,2.271132678,2.484360564,-0.238974559,-0.879828966,-0.300146465,-0.194641526,-0.521639587,-1.611277049,-0.741920701,2.172866138,2.53835782,-1.647859891,1.540979594,2.50641362,-0.45747705,-0.689630919,0.342433928
470,-1.491625236,0.327912864,"10/01/2013","27/06/2013","01/08/2013",-0.145350367,1.002901563,0.883438206,-0.168087896,0.435368778,-2.188015035,1.743545075,1.929090573,-0.238974559,0.632018571,1.017158165,-0.478870957,-0.063690475,-1.63820893,-0.923819225,1.348349819,0.825561732,-0.634542497,0.963494301,0.797672575,-2.021180934,-1.022874822,-0.286312045
560,0.50435577,-1.161904443,"05/12/2013","20/08/2014","20/08/2014",-0.991031861,1.325162532,-1.196758078,-1.214393628,0.205484787,-1.241500738,0.864232404,1.651455578,-1.886859995,-1.283686201,0.254508116,-0.269548927,-0.24064262,0.02707905,-0.192395688,-0.177670303,0.262919097,0.828637595,0.360331678,1.738590342,-0.978711678,-0.600408457,0.18761708
17,-2.411237348,1.468458378,NA,"20/11/2014","20/11/2014",0.420926425,0.647004449,0.69350167,-0.291493501,-1.296423956,-0.565419097,0.512507335,0.818550592,0.310320587,1.76786034,0.393171761,-0.48341882,0.063137886,-1.853663978,-0.56337294,-0.722914966,0.011128747,-1.266582092,0.515897454,-0.08642245,-0.45747705,0.012973715,3.40172858
557,-0.473567789,1.159182075,"14/07/2015","19/02/2016","18/03/2016",-0.709760311,-1.312122353,-0.316948383,-0.11400515,-2.169983123,0.516311528,-0.718530405,0.540915596,-0.238974559,-1.011920662,0.739830874,-0.524662407,0.3122379,-0.332012698,0.80373807,0.856299758,0.505383879,-2.091058634,0.458505387,0.481327474,1.106226833,2.583898903,-0.451239381
323,-0.676666445,1.29536603,"14/01/2013","20/04/2013","01/10/2013",-0.500051214,-1.341969384,0.293790918,0.192849481,-2.169983123,0.110662543,-0.542667871,1.373820583,-1.33756485,-1.918728196,0.878494519,-0.583303375,0.30008668,-0.753945501,0.135979016,1.226999635,0.496058311,-1.697372266,1.56608296,0.396570862,-0.45747705,0.651504414,-0.202268614
428,-2.403960096,1.01467468,"07/12/2014","28/03/2015","15/05/2015",0.068092424,1.335939764,0.480647069,-1.033084332,-0.553132384,-0.971068082,0.512507335,1.651455578,0.310320587,1.028517947,0.670499051,-0.448720307,0.320591864,-1.853663978,-0.641876513,-0.473565273,-0.237553081,-1.115850736,0.179110151,-0.287212057,-2.021180934,-0.926178144,1.915632181
265,-0.648626705,1.329109171,NA,"26/06/2015","04/06/2015",0.818564743,-1.401725562,0.301090198,0.232740146,-2.169983123,0.110662543,-0.542667871,1.096185587,-1.33756485,-1.938971307,0.878494519,-0.583303375,0.343375402,-0.709059033,0.253255696,1.251934604,0.539577631,-1.843156448,1.499304642,0.422594723,1.106226833,0.446449954,-0.480307034
122,-1.269560048,0.725347275,"19/06/2013","19/10/2013","01/09/2013",-0.063209118,-0.008978004,0.858706412,0.010535822,0.167170788,-2.728880347,2.271132678,2.484360564,-0.788269704,-1.36939159,-1.062796514,-0.306629654,-0.60138197,-1.431731175,-0.868292307,1.895256813,1.327588172,-1.523063105,1.149126287,1.240078213,-0.45747705,-0.95783543,-0.157845657
148,-0.655519851,0.673980328,"08/06/2014",NA,"01/09/2014",0.101695662,-0.507774378,-0.900225436,-0.583413695,-0.890295572,-0.159770113,-0.190942802,0.540915596,-0.788269704,0.491318602,1.502480923,-0.553778357,-0.043185291,-0.700081739,-0.556671415,-0.038034475,-0.439607066,-0.292572892,0.609017691,0.049665631,-0.45747705,0.013641751,1.067438066
750,-0.694407991,1.297886508,NA,"26/06/2015","04/06/2015",0.812964204,-1.333117767,0.336605804,0.207150732,-2.169983123,-0.024553785,-0.542667871,1.373820583,-1.33756485,-1.975987817,0.809162697,-0.583303375,0.287176009,-0.780877382,0.087632303,1.256921598,0.500721095,-1.658912304,1.615987604,0.396332111,1.106226833,0.110331353,-0.550448544
610,-2.426259008,1.000137971,"15/11/2014","28/03/2015","15/05/2015",-0.088722687,1.391316721,0.44750952,-1.085726036,-0.522481186,-1.10628441,0.512507335,1.651455578,0.310320587,1.010757594,0.670499051,-0.444966515,0.321351315,-1.867129919,-0.647141997,-0.516785886,-0.257758479,-1.125343825,0.14119833,-0.303685877,-2.021180934,-0.879050557,2.363236123
120,-1.35578666,1.326158844,"28/11/2013","07/03/2014","02/03/2014",0.427149247,-0.869696802,1.241167008,0.433066832,-0.522481186,-1.917582378,1.391820007,2.206725569,-0.238974559,-2.211039191,-1.340123805,-0.281532186,-0.346206345,-1.543947346,-0.545183088,2.418891168,1.862254101,-1.860542667,1.199505639,1.719729011,-0.45747705,-0.398932555,0.584453734
606,-1.35553751,1.334951209,"08/11/2013","06/03/2014","05/03/2014",0.969779315,-0.882026949,1.24470329,0.440075537,-0.530143985,-1.917582378,1.391820007,2.206725569,-0.238974559,-2.219888283,-1.340123805,-0.283000015,-0.338611833,-1.543947346,-0.540396284,2.418891168,1.851374271,-1.861553434,1.200994493,1.706120203,-0.45747705,-0.429448585,0.853013572
756,2.819207064,-1.036935636,"23/02/2015","28/05/2015","12/04/2015",0.513646471,0.052765906,0.648286547,-3.08316322,-1.066539965,0.3810952,0.512507335,-1.957799362,0.859615732,-1.618793846,1.502480923,-0.056761858,4.142910074,2.379129997,2.404445079,-0.759486254,0.878406621,0.747826978,-2.601964701,0.469389923,1.627461461,0.495341943,-0.846812224
315,-0.645408519,0.679060361,"25/05/2014","27/09/2014","01/09/2014",-0.151573188,-0.524670095,-0.911211321,-0.590466068,-0.94393517,-0.024553785,-0.190942802,0.540915596,-0.788269704,0.497906509,1.502480923,-0.556593701,-0.035590778,-0.677638505,-0.508803383,-0.043021469,-0.427172974,-0.304742738,0.575330762,0.06351319,-0.45747705,-0.549237496,0.295363287
134,-0.975106445,0.653015423,"18/12/2014","27/05/2015","28/09/2015",-1.327064242,-0.189302521,0.114741694,-0.248371408,-0.101027202,-1.511933394,1.040094938,1.651455578,-0.788269704,-0.795895588,0.11584447,-0.357498348,-0.340890186,-1.135480483,-1.009981684,0.88455939,0.07951625,-0.833826254,1.306513212,0.160207353,-0.45747705,-0.717497362,1.007716677
414,-0.913919393,1.869995892,"25/10/2015",NA,"06/06/2016",0.957955954,-1.885924532,1.332427725,NA,-0.93627237,-0.565419097,-0.366805336,2.484360564,-0.238974559,-3.197711091,-1.062796514,-0.583303375,0.633485785,-1.22525342,0.140765819,2.179515463,0.946794123,-2.085735597,1.684259092,0.669224526,1.106226833,2.72971246,-0.527699946
438,-2.112859635,2.331634102,"07/08/2014","24/01/2015","26/04/2015",-0.009692849,-1.310445204,1.17809551,1.050269529,-2.039715528,0.3810952,0.160782267,-0.569624385,0.310320587,0.970600321,-0.924132869,-0.48924201,-0.040906937,-1.903039093,-0.295790638,-0.107852389,0.726089001,-1.542623236,1.258252779,0.490877515,1.106226833,-0.347586016,-0.766560226
448,-2.14920437,2.31797663,"05/09/2014","18/01/2015","30/04/2015",1.770656492,-1.218574739,1.152032989,1.011645234,-2.070366727,0.3810952,0.160782267,-0.569624385,0.310320587,1.09260426,-0.854801047,-0.496773657,-0.059893219,-1.90752774,-0.312544449,-0.212579261,0.693449511,-1.546386949,1.231578565,0.463421148,1.106226833,2.242893314,-0.567509993
87,-0.622279108,0.662139944,"17/02/2014","25/08/2014","27/08/2014",0.720244158,-0.52001135,-0.966917002,-0.626273781,-0.93627237,-0.024553785,-0.190942802,0.540915596,-0.788269704,0.61360307,1.502480923,-0.549374871,-0.024958461,-0.637240683,-0.43125717,-0.101203064,-0.434944281,-0.284237869,0.465643253,0.084284529,-0.45747705,-0.44277812,0.60849142
724,-0.611285371,0.667669364,"05/02/2014","21/08/2014","18/08/2014",-0.849773804,-0.538242575,-0.97689745,-0.633850169,-0.989911968,-0.024553785,-0.366805336,0.540915596,-0.788269704,0.612565445,1.502480923,-0.55067426,-0.017363948,-0.614797449,-0.37190081,-0.101203064,-0.410076099,-0.304311003,0.425232747,0.105055868,-0.45747705,-0.779320408,0.091106153
781,-1.016672946,0.998535807,"11/10/2014","20/09/2015","22/09/2015",-0.201355763,-0.717480051,0.670738857,0.080011518,-0.783016376,-1.647149722,1.040094938,2.206725569,-0.788269704,-2.143748625,-0.438810111,-0.498482114,-0.290006952,-1.193832892,-0.718465365,1.614322825,0.607965133,-1.265698305,1.649972305,0.513797613,-0.45747705,-0.449361622,1.257704812
287,-1.221546795,1.127744487,"11/08/2014",NA,"01/12/2015",0.653037681,-0.719995774,1.084375414,0.279508513,-0.40753919,-2.188015035,1.567682541,2.484360564,-0.788269704,-2.502803165,-1.548119273,-0.339764087,-0.447213363,-1.409287941,-0.659109005,2.272606015,1.469025961,-1.717917769,1.164800247,1.322208564,-0.45747705,-0.640868955,-0.130048134
